CovidDate,StateCode
2/12/2020,NH
2/12/2020,NJ
2/12/2020,NM
2/12/2020,NY
2/12/2020,NC
2/12/2020,ND
2/12/2020,OH
2/12/2020,OK
2/12/2020,OR
2/12/2020,PA
2/12/2020,RI
2/12/2020,SC
2/12/2020,SD
2/12/2020,TN
2/12/2020,TX
2/12/2020,UT
2/12/2020,VT
2/12/2020,VA
2/12/2020,WA
2/12/2020,WV
2/12/2020,WI
2/12/2020,WY
2/13/2020,AL
2/13/2020,AK
2/13/2020,AZ
2/13/2020,AR
2/13/2020,CA
2/13/2020,CO
2/13/2020,CT
2/13/2020,DE
2/13/2020,DC
2/13/2020,FL
2/13/2020,GA
2/13/2020,HI
2/13/2020,ID
2/13/2020,IL
2/13/2020,IN
2/13/2020,IA
2/13/2020,KS
2/13/2020,KY
2/13/2020,LA
2/13/2020,ME
2/13/2020,MD
2/13/2020,MA
2/13/2020,MI
2/13/2020,MN
2/13/2020,MS
2/13/2020,MO
2/13/2020,MT
2/13/2020,NE
2/13/2020,NV
2/13/2020,NH
2/13/2020,NJ
2/13/2020,NM
2/13/2020,NY
2/13/2020,NC
2/13/2020,ND
2/13/2020,OH
2/13/2020,OK
2/13/2020,OR
2/13/2020,PA
2/13/2020,RI
2/13/2020,SC
2/13/2020,SD
2/13/2020,TN
2/13/2020,TX
2/13/2020,UT
2/13/2020,VT
2/13/2020,VA
2/13/2020,WA
2/13/2020,WV
2/13/2020,WI
2/13/2020,WY
2/14/2020,AL
2/14/2020,AK
2/14/2020,AZ
2/14/2020,AR
2/14/2020,CA
2/14/2020,CO
2/14/2020,CT
2/14/2020,DE
2/14/2020,DC
2/14/2020,FL
2/14/2020,GA
2/14/2020,HI
2/14/2020,ID
2/14/2020,IL
2/14/2020,IN
2/14/2020,IA
2/14/2020,KS
2/14/2020,KY
2/14/2020,LA
2/14/2020,ME
2/14/2020,MD
2/14/2020,MA
2/14/2020,MI
2/14/2020,MN
2/14/2020,MS
2/14/2020,MO
2/14/2020,MT
2/14/2020,NE
2/14/2020,NV
2/14/2020,NH
2/14/2020,NJ
2/14/2020,NM
2/14/2020,NY
2/14/2020,NC
2/14/2020,ND
2/14/2020,OH
2/14/2020,OK
